Rebar 1 
 X,Y,Z
0.5168,-0.0174,0.3400
0.5168,-0.0166,0.3400
0.5168,-0.0157,0.3400
0.5168,-0.0148,0.3400
0.5205,-0.0140,0.3400
0.5205,-0.0131,0.3400
0.5205,-0.0123,0.3400
0.5205,-0.0114,0.3400
0.5241,-0.0105,0.3400
0.5241,-0.0097,0.3400
0.5241,-0.0088,0.3400
0.5241,-0.0079,0.3400
0.5241,-0.0071,0.3400
0.5241,-0.0062,0.3400
0.5241,-0.0053,0.3400
0.5241,-0.0045,0.3400
0.5278,-0.0036,0.3400
0.5278,-0.0027,0.3400
0.5278,-0.0019,0.3400
0.5278,-0.0010,0.3400
0.5278,-0.0001,0.3400
0.5278,0.0007,0.3400
0.5315,0.0016,0.3400
0.5315,0.0025,0.3400
0.5351,0.0033,0.3400
0.5351,0.0042,0.3400
0.5388,0.0051,0.3400
0.5425,0.0059,0.3400
0.5425,0.0068,0.3400
0.5388,0.0077,0.3400
0.5351,0.0085,0.3400
0.5388,0.0094,0.3400
0.5388,0.0103,0.3400
0.5388,0.0111,0.3400
0.5388,0.0120,0.3400
0.5388,0.0129,0.3400
0.5388,0.0137,0.3400
0.5388,0.0146,0.3400
0.5388,0.0154,0.3400
0.5388,0.0163,0.3400
0.5388,0.0172,0.3400
0.5388,0.0180,0.3400
0.5388,0.0189,0.3400
0.5388,0.0198,0.3400
0.5388,0.0206,0.3400
0.5388,0.0215,0.3400
0.5388,0.0224,0.3400
0.5388,0.0232,0.3400
0.5388,0.0241,0.3400
0.5388,0.0250,0.3400
0.5388,0.0258,0.3400
0.5388,0.0267,0.3400
0.5388,0.0276,0.3400
0.5425,0.0284,0.3400
0.5425,0.0293,0.3400
0.5425,0.0302,0.3400
0.5425,0.0310,0.3400
0.5461,0.0319,0.3400
0.5461,0.0328,0.3400
0.5461,0.0336,0.3400
0.5461,0.0345,0.3400
0.5461,0.0354,0.3400
0.5461,0.0362,0.3400
0.5461,0.0371,0.3400
0.5461,0.0380,0.3400
0.5461,0.0388,0.3400
0.5498,0.0397,0.3400
0.5498,0.0406,0.3400
0.5498,0.0414,0.3400
0.5498,0.0423,0.3400
0.5498,0.0432,0.3400
0.5498,0.0440,0.3400
0.5498,0.0449,0.3400
0.5535,0.0457,0.3400
0.5535,0.0466,0.3400
0.5535,0.0475,0.3400
0.5535,0.0483,0.3400
0.5535,0.0492,0.3400
0.5535,0.0501,0.3400
0.5535,0.0509,0.3400
0.5535,0.0518,0.3400
0.5571,0.0527,0.3400
0.5571,0.0535,0.3400
0.5571,0.0544,0.3400
0.5571,0.0553,0.3400
0.5571,0.0561,0.3400
0.5571,0.0570,0.3400
0.5571,0.0579,0.3400
0.5608,0.0587,0.3400
0.5608,0.0596,0.3400
0.5608,0.0605,0.3400
0.5608,0.0613,0.3400
0.5608,0.0622,0.3400
0.5608,0.0631,0.3400
0.5608,0.0639,0.3400
0.5608,0.0648,0.3400
0.5608,0.0657,0.3400
0.5608,0.0665,0.3400
0.5645,0.0674,0.3400
0.5645,0.0683,0.3400
0.5645,0.0691,0.3400
0.5645,0.0700,0.3400
0.5645,0.0709,0.3400
0.5645,0.0717,0.3400
0.5645,0.0726,0.3400
0.5645,0.0734,0.3400
0.5645,0.0743,0.3400
0.5645,0.0752,0.3400
0.5645,0.0760,0.3400
0.5645,0.0769,0.3400
0.5645,0.0778,0.3400
0.5681,0.0786,0.3400
0.5681,0.0795,0.3400
0.5681,0.0804,0.3400
0.5681,0.0812,0.3400
0.5681,0.0821,0.3400
0.5681,0.0830,0.3400
0.5681,0.0838,0.3400
0.5718,0.0847,0.3400
0.5718,0.0856,0.3400
0.5718,0.0864,0.3400
0.5718,0.0873,0.3400
0.5718,0.0882,0.3400
0.5718,0.0890,0.3400
0.5718,0.0899,0.3400
0.5718,0.0908,0.3400
0.5718,0.0916,0.3400
0.5754,0.0925,0.3400
0.5754,0.0934,0.3400
0.5754,0.0942,0.3400
0.5754,0.0951,0.3400
0.5791,0.0960,0.3400
0.5791,0.0968,0.3400
0.5791,0.0977,0.3400
0.5791,0.0986,0.3400
0.5791,0.0994,0.3400
0.5791,0.1003,0.3400
0.5828,0.1012,0.3400
0.5828,0.1020,0.3400
0.5828,0.1029,0.3400
0.5828,0.1037,0.3400
0.5828,0.1046,0.3400
0.5828,0.1055,0.3400
0.5828,0.1063,0.3400
0.5864,0.1072,0.3400
0.5864,0.1081,0.3400
0.5864,0.1089,0.3400
0.5864,0.1098,0.3400
0.5864,0.1107,0.3400
0.5864,0.1115,0.3400
0.5864,0.1124,0.3400
0.5864,0.1133,0.3400
0.5864,0.1141,0.3400
0.5864,0.1150,0.3400
0.5901,0.1159,0.3400
0.5901,0.1167,0.3400
0.5901,0.1176,0.3400
0.5901,0.1185,0.3400
0.5901,0.1193,0.3400
0.5901,0.1202,0.3400
0.5901,0.1211,0.3400
0.5901,0.1219,0.3400
0.5901,0.1228,0.3400
0.5901,0.1237,0.3400
0.5901,0.1245,0.3400
0.5901,0.1254,0.3400
0.5901,0.1263,0.3400
0.5901,0.1271,0.3400
0.5901,0.1280,0.3400
0.5901,0.1289,0.3400
0.5938,0.1297,0.3400
0.5938,0.1306,0.3400
0.5938,0.1314,0.3400
0.5974,0.1323,0.3400
0.5974,0.1332,0.3400
0.5974,0.1340,0.3400
0.6011,0.1349,0.3400
0.6011,0.1358,0.3400
0.6011,0.1366,0.3400
0.6011,0.1375,0.3400
0.6011,0.1384,0.3400
0.6011,0.1392,0.3400
